TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
143.317579031,2,6,-108,78,-112,6,80,-79,13,19,10,139,19,10,139,92,92,0,0,0,0,0,0,13044
143.330119133,2,5,-108,35,-76,0,99,-106,11,19,10,139,19,10,139,92,92,0,0,0,0,0,0,13045
143.339594126,4,8,-108,35,-76,0,99,-106,11,92,54,102,92,54,102,92,92,0,0,0,0,0,0,13046
143.351617098,3,7,-108,-23,-8,-7,79,-104,5,92,54,102,92,54,102,92,92,0,0,0,0,0,0,13047
143.363193036,5,10,-108,-23,-8,-7,79,-104,5,104,56,138,104,56,138,91,92,0,0,0,0,0,0,13048
143.372065068,4,10,-108,-73,65,-13,34,-73,-1,104,56,138,104,56,138,91,92,0,0,0,0,0,0,13049
143.384877205,4,11,-108,-73,65,-13,34,-73,-1,82,47,214,82,47,214,91,92,0,0,0,0,0,0,13050
143.396798134,3,11,-108,-102,111,-12,-21,-14,-7,82,47,214,82,47,214,91,92,0,0,0,0,0,0,13051
143.404818058,3,11,-108,-102,111,-12,-21,-14,-7,82,47,214,82,47,214,90,92,0,0,0,0,0,0,13052
143.415568114,2,12,-108,-99,117,-4,-72,59,-12,30,4,22,30,4,22,90,92,0,0,0,0,0,0,13053
143.426611186,2,12,-108,-99,117,-4,-72,59,-12,30,4,22,30,4,22,90,92,0,0,0,0,0,0,13054
143.43762517,1,11,-108,-58,80,1,-102,112,-12,-12,-34,111,-12,-34,111,90,92,0,0,0,0,0,0,13055
143.448594094,1,11,-108,-58,80,1,-102,112,-12,-12,-34,111,-12,-34,111,91,92,0,0,0,0,0,0,13056
143.459599972,1,10,-108,5,23,4,-98,120,-6,-51,-50,97,-51,-50,97,91,92,0,0,0,0,0,0,13057
143.470702172,1,10,-108,5,23,4,-98,120,-6,-51,-50,97,-51,-50,97,91,92,0,0,0,0,0,0,13058
143.488666058,1,8,-108,63,-38,8,-60,84,1,-50,-41,32,-50,-41,32,91,92,0,0,0,0,0,0,13059
143.492766142,1,8,-108,63,-38,8,-60,84,1,-50,-41,32,-50,-41,32,92,92,0,0,0,0,0,0,13060
143.503700972,1,6,-108,89,-90,9,0,22,7,-31,-26,214,-31,-26,214,92,92,0,0,0,0,0,0,13061
143.516191006,1,6,-108,89,-90,9,0,22,7,-31,-26,214,-31,-26,214,92,92,0,0,0,0,0,0,13062
