TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
152.176006079,0,-3,-1,0,-14,-5,0,-13,-5,114,31,253,11,0,198,185,0,0,181,183,175,199,1,13234
152.185164928,0,-3,-1,-1,-11,-5,0,-12,-5,64,64,153,14,2,192,185,0,0,184,180,178,197,1,13235
152.194926023,0,-3,-1,-1,-7,-1,-1,-9,-3,144,-68,95,17,0,198,185,0,0,185,182,181,190,1,13236
152.203977108,0,-3,-1,-1,0,1,-1,-3,0,24,0,20,18,6,196,185,0,0,186,183,188,180,1,13237
152.232048988,0,-3,-1,-1,-4,-4,-1,-1,-1,-47,113,76,17,4,193,185,0,0,183,180,188,186,1,13238
152.240981102,0,-2,-1,0,14,5,0,5,0,69,153,146,18,11,184,185,0,0,186,187,195,170,1,13239
152.249961138,0,-2,-1,-2,7,7,-1,11,6,138,-126,160,18,8,187,185,0,0,188,185,200,165,1,13240
152.260735989,0,-2,-1,0,7,-1,0,7,2,82,129,198,19,11,183,185,0,0,184,183,191,180,1,13241
152.287137985,0,-1,-1,0,11,1,0,9,0,-30,-139,-164,17,6,172,185,0,0,184,185,197,173,1,13242
152.297011137,0,-1,-1,0,15,0,0,13,0,96,1,107,20,4,177,185,0,0,184,184,202,168,1,13243
152.306832075,0,-1,-1,0,13,4,0,14,2,-47,87,192,20,11,182,185,0,0,184,187,200,167,1,13244
152.315016985,0,0,-1,0,3,-1,0,8,1,19,5,205,25,9,182,185,0,0,183,183,190,181,1,13245
152.343178987,0,0,-1,0,2,0,0,3,-1,95,-45,110,29,10,181,185,0,0,184,183,185,186,1,13246
152.352101088,0,0,-1,0,-48,-3,0,-22,-2,-134,-169,223,29,1,186,185,0,0,182,183,144,229,1,13247
152.361952066,0,0,-1,2,-89,-5,1,-69,-4,192,196,96,35,6,184,185,0,0,179,184,84,240,1,13248
152.371086121,0,0,-1,0,-124,-5,0,-106,-5,-215,-96,-28,32,-10,169,185,0,0,180,183,55,240,1,13249
152.398966074,0,0,-1,-6,-135,5,-3,-130,0,47,-25,-15,32,-8,164,185,0,0,192,180,41,240,1,13250
152.407979012,0,-3,-1,-12,-135,19,-9,-135,12,104,-46,244,33,-13,165,185,0,0,205,178,45,240,1,13251
152.417115927,0,-3,-1,-19,-139,-27,-15,-137,-4,242,-52,5,42,-19,160,185,0,0,193,153,64,240,1,13252
152.426887989,0,-3,-1,-17,-98,9,-18,-119,-8,20,131,191,42,-14,165,185,0,0,208,168,85,240,1,13253
152.454972029,0,-3,-1,25,-100,2,4,-99,6,-85,-78,171,40,-18,162,185,0,0,162,208,108,240,1,13254
152.464059114,0,-4,-1,-2,-45,-2,11,-73,0,158,-11,172,44,-22,169,185,0,0,165,201,140,232,1,13255
152.473082066,0,-4,-1,-5,-48,-16,-3,-47,-9,32,-159,161,50,-22,175,185,0,0,194,161,170,213,1,13256
152.483138084,0,-3,-1,2,3,0,-1,-22,-8,93,4,19,49,-13,172,185,0,0,183,184,186,185,1,13257
152.510169983,0,-2,-1,0,7,1,0,5,0,-29,-41,45,51,-13,174,185,0,0,182,187,214,155,1,13258
152.520077944,0,-1,-1,3,55,-5,1,31,-2,124,-44,190,52,-12,175,185,0,0,180,183,240,134,1,13259
152.529102087,0,0,-1,4,68,5,3,61,0,231,180,73,58,-12,172,185,0,0,180,192,240,97,1,13260
152.538099051,0,0,-1,5,73,0,4,70,2,205,166,117,64,-1,167,185,0,0,179,189,240,111,1,13261
152.566007137,0,0,-1,3,81,8,4,77,4,21,-249,47,62,-15,165,185,0,0,184,190,240,103,1,13262
152.57518506,0,3,-1,2,82,10,3,81,9,-35,-38,-40,59,-17,160,185,0,0,186,190,240,99,1,13263
152.584998131,-1,4,-1,1,79,16,2,80,13,155,203,207,58,-11,162,185,0,0,190,192,240,102,1,13264
152.594156027,-1,4,0,9,77,7,5,78,12,-63,-49,130,56,-19,164,185,0,0,179,195,240,111,1,13265
152.622061968,-1,5,0,5,60,-7,7,68,0,58,-10,34,57,-19,165,185,0,0,173,189,240,133,1,13266
152.631072044,-1,6,-1,0,31,3,2,45,-2,-31,61,140,56,-18,170,185,0,0,188,183,206,161,1,13267
152.639956951,-1,7,0,-3,18,13,-1,25,8,109,-174,204,63,-20,171,185,0,0,195,184,184,175,1,13268
152.649944067,-1,7,0,0,8,-1,-1,13,6,-78,-88,128,59,-29,174,185,0,0,185,182,186,185,1,13269
152.677948952,-1,8,0,-2,-2,11,0,2,5,-39,5,-67,57,-18,167,185,0,0,190,187,172,189,1,13270
152.687039137,-2,8,0,-1,-34,-8,-1,-18,1,0,-20,61,57,-21,159,185,0,0,184,177,150,227,1,13271
152.696159124,-2,8,0,-4,-50,-2,-2,-42,-5,111,107,250,59,-18,163,185,0,0,187,179,123,240,1,13272
152.706011057,-2,8,0,0,-55,-8,-2,-52,-5,87,-120,23,63,-18,166,185,0,0,183,178,127,240,1,13273
152.733148098,-2,8,0,1,-40,-6,0,-47,-7,-49,-39,-38,58,-19,158,185,0,0,179,184,143,232,1,13274
152.750959158,-2,7,-1,1,-35,-4,1,-38,-5,-17,119,245,56,-18,161,188,0,0,184,187,159,221,1,13275
152.757985115,-2,8,-1,0,-34,-2,0,-34,-3,-86,-152,168,51,-20,156,188,0,0,187,185,156,222,1,13276
152.767099142,-2,8,-1,0,-35,-3,0,-34,-2,139,-1,65,54,-20,157,188,0,0,188,184,154,225,1,13277
152.795110941,-2,8,-1,3,-9,-2,1,-22,-2,-73,151,24,53,-19,156,188,0,0,185,187,175,203,1,13278
152.804944038,-2,8,-1,1,6,2,2,-1,0,141,49,135,55,-22,162,188,0,0,186,190,200,174,1,13279
152.814074993,-3,9,-1,2,23,3,1,14,2,-81,48,58,49,-17,160,188,0,0,188,189,212,162,1,13280
152.822869062,-3,9,-1,-2,13,-1,0,18,0,104,2,168,50,-21,165,188,0,0,189,184,206,171,1,13281
152.850968122,-3,9,-1,0,24,10,0,19,4,95,3,200,53,-11,181,188,0,0,194,188,199,168,1,13282
152.866189957,-3,10,-1,4,51,-2,2,38,3,19,-151,64,51,-14,180,189,0,0,183,190,239,141,1,13283
152.882172108,-3,11,-1,1,62,6,2,57,1,217,43,247,58,-9,181,191,0,0,191,195,240,122,1,13284
152.91583395,-3,12,0,-2,47,13,0,54,9,204,121,254,62,0,182,192,0,0,201,192,233,141,1,13285
152.931074142,-3,13,0,4,20,-5,0,34,3,-34,-179,-19,59,-3,173,195,0,0,192,192,208,186,1,13286
152.939996958,-3,13,0,0,23,9,1,22,2,-189,239,136,58,6,164,195,0,0,196,200,198,185,1,13287
152.950061083,-2,13,0,1,4,-9,0,14,0,46,-224,144,54,-3,165,195,0,0,192,189,200,197,1,13288
152.978103161,-2,14,0,-1,-9,-1,0,-2,-5,-39,-116,25,58,1,179,195,0,0,195,192,174,217,1,13289
152.986930132,-2,13,0,-4,-29,2,-2,-19,0,36,200,217,58,7,185,195,0,0,201,189,156,231,1,13290
152.997318983,-2,13,0,-1,-28,0,-3,-29,1,116,-1,147,58,8,189,195,0,0,198,190,154,236,1,13291
153.005016088,-2,13,0,1,-26,-3,0,-27,-1,167,-3,15,56,16,196,195,0,0,191,194,167,226,1,13292
153.033178091,-2,13,0,1,-32,-6,1,-29,-4,-117,-150,-91,53,2,182,195,0,0,190,193,163,232,1,13293
153.043158054,-2,13,-1,-1,-34,-9,0,-33,-7,-17,-19,46,55,10,186,195,0,0,193,188,158,239,1,13294
153.051917076,-2,13,-1,-2,-31,-9,-2,-33,-9,75,-79,77,53,9,183,195,0,0,195,186,163,234,1,13295
153.061125994,-1,13,-1,0,-20,-1,-1,-26,-5,-10,-118,178,45,10,190,195,0,0,195,192,172,220,1,13296
153.089116096,-1,13,-1,1,-7,1,0,-14,0,173,44,182,47,4,201,195,0,0,193,196,187,202,1,13297
153.097984076,-1,13,-1,1,17,-3,1,5,-1,185,32,10,52,6,200,195,0,0,191,194,213,180,1,13298
153.107897997,-1,13,-1,0,19,2,0,18,0,43,-29,136,50,6,198,195,0,0,196,195,218,170,1,13299
153.119066954,-1,13,-1,1,15,-9,0,17,-3,106,-30,-33,47,1,196,195,0,0,191,190,210,187,1,13300
153.145010948,-1,13,-1,3,42,4,2,29,-2,87,145,191,44,1,198,195,0,0,192,199,226,161,1,13301
153.153958082,-1,14,-1,2,35,2,3,39,3,46,-182,67,45,2,204,195,0,0,192,198,235,153,1,13302
153.162951946,-1,14,-1,1,44,5,2,40,3,25,-14,198,46,3,210,195,0,0,195,197,227,158,1,13303
153.173082113,-1,14,0,-2,28,7,0,36,6,87,162,29,45,2,212,195,0,0,200,194,219,165,1,13304
153.200917006,-1,14,0,2,28,1,0,28,4,-89,-76,146,44,1,219,195,0,0,195,194,210,179,1,13305
153.210037947,0,14,-1,2,16,-4,2,22,-1,45,-112,-75,44,5,216,195,0,0,188,196,208,186,1,13306
153.218994141,0,14,-1,0,16,3,0,16,0,70,99,123,46,0,210,195,0,0,196,195,199,188,1,13307
153.22814393,0,14,-1,1,9,1,0,12,2,7,-147,213,37,0,210,195,0,0,195,194,199,191,1,13308
153.255985022,0,14,-1,-2,-2,2,0,3,1,-78,140,227,37,12,212,195,0,0,197,194,184,204,1,13309
153.265917063,0,14,0,-2,-2,5,-2,-2,4,-8,-110,-104,38,3,211,195,0,0,201,192,180,205,1,13310
153.274810076,0,14,0,-1,-15,-1,-2,-8,2,238,75,179,44,5,214,195,0,0,195,192,176,214,1,13311
153.28404212,0,14,0,1,-15,-7,0,-15,-4,9,-180,114,42,-1,217,195,0,0,190,193,173,223,1,13312
153.312045097,0,14,0,-2,-16,-2,0,-16,-4,52,42,92,41,2,219,195,0,0,194,192,175,217,1,13313
153.321017981,0,13,0,0,-9,0,0,-12,-1,148,-14,250,46,3,226,195,0,0,195,192,180,210,1,13314
153.331017017,0,13,0,2,-7,-2,1,-8,-1,-48,-35,-97,45,0,218,195,0,0,190,196,187,205,1,13315
153.339982033,0,13,0,-2,-15,0,0,-11,-1,16,4,253,48,3,220,195,0,0,195,192,177,214,1,13316
153.367923021,0,13,0,-2,-12,0,-2,-14,0,-85,1,23,42,3,225,195,0,0,198,190,175,216,1,13317
153.376963139,0,13,0,0,1,2,-1,-5,0,-84,-121,125,42,-3,234,195,0,0,196,194,191,197,1,13318
153.385964155,0,13,0,1,9,2,0,5,2,179,-174,211,43,-8,236,195,0,0,193,197,204,184,1,13319
153.396086931,0,13,0,-1,7,3,0,8,3,233,15,15,50,-3,241,195,0,0,196,195,200,187,1,13320
153.423933983,0,13,0,0,16,11,-1,11,7,32,-117,36,49,-6,238,195,0,0,201,197,200,181,1,13321
153.432960033,0,13,0,3,18,-9,1,17,1,38,-57,-13,47,-20,226,195,0,0,187,194,215,182,1,13322
153.442065001,0,13,0,5,36,-2,4,27,-6,84,-3,193,49,-16,223,195,0,0,186,200,226,166,1,13323
153.4519701,0,13,0,2,33,2,3,34,0,-49,-93,54,42,-26,218,195,0,0,192,198,228,160,1,13324
153.479032993,0,13,0,-1,13,2,0,23,2,40,-4,133,38,-36,215,195,0,0,198,192,201,186,1,13325
